,event_date,event_type,country,admin1,actor1,actor2,assoc_actor_1,assoc_actor_2
445174,28 December 2018,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Katiba Serma,Tuareg Ethnic Group (Mali)
445469,27 December 2018,Violence against civilians,Mali,Koulikoro,Dozo Militia,Civilians (Mali),,
445486,27 December 2018,Strategic developments,Mali,Kidal,CMA: Coordination of Movements of the Azawad,JNIM: Group for Support of Islam and Muslims,MNLA: National Movement for the Liberation of Azawad,Ansar Dine
445682,27 December 2018,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Katiba Serma,Journalists (Mali)
445746,27 December 2018,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina; Katiba Serma,
445766,27 December 2018,Violence against civilians,Mali,Mopti,Fulani Ethnic Militia (Mali),Civilians (Mali),,Dogon Ethnic Group (Mali)
445889,26 December 2018,Violence against civilians,Mali,Segou,Unidentified Armed Group (Mali),Civilians (Mali),,
446252,26 December 2018,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Katiba Serma,Government of Mali (2013-2020)
446331,25 December 2018,Strategic developments,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),AQIM: Al Qaeda in the Islamic Maghreb,
447050,24 December 2018,Battles,Mali,Gao,Ganda Izo,Police Forces of Mali (2013-2020) Gendarmerie,,
447234,24 December 2018,Explosions/Remote violence,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
447368,23 December 2018,Protests,Mali,Bamako,Protesters (Mali),,Muslim Group (Mali),
447662,23 December 2018,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
447716,22 December 2018,Violence against civilians,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),Katiba Salaheddine,Dawsahak Ethnic Group (Mali)
447742,22 December 2018,Battles,Mali,Kidal,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020) Operational Coordination Mechanism,,
447916,22 December 2018,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Katiba Macina,Teachers (Mali)
448112,22 December 2018,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dan Na Ambassagou,Katiba Macina,
448126,22 December 2018,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
448258,21 December 2018,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Islamic State (Greater Sahara),
449529,19 December 2018,Violence against civilians,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),,Tuareg Ethnic Group (Mali)
449632,19 December 2018,Battles,Mali,Tombouctou,Military Forces of France (2017-),Islamic State (Greater Sahara),,
449665,19 December 2018,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),,
449900,19 December 2018,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Katiba Serma,
449944,18 December 2018,Violence against civilians,Mali,Segou,Unidentified Armed Group (Mali),Civilians (Mali),,Bozo Ethnic Group (Mali)
450070,18 December 2018,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
450444,18 December 2018,Battles,Mali,Gao,Islamic State (Greater Sahara),Boutak Communal Militia (Mali),Katiba Salaheddine,
450446,18 December 2018,Violence against civilians,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),Katiba Salaheddine,
450665,17 December 2018,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Al Mourabitoune Battalion,
450723,17 December 2018,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Al Mourabitoune Battalion,
451055,17 December 2018,Riots,Mali,Mopti,Rioters (Mali),Police Forces of Mali (2013-2020) Gendarmerie,Dan Na Ambassagou,
451126,16 December 2018,Violence against civilians,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,
451823,15 December 2018,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Islamic State (Greater Sahara),
452025,15 December 2018,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Katiba Macina,Labour Group (Mali); Health Workers (Mali)
452063,15 December 2018,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,Fulani Ethnic Group (Mali)
452466,14 December 2018,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Katiba Macina,Bozo Ethnic Group (Mali); Fishermen (Mali)
452470,14 December 2018,Protests,Mali,Bamako,Protesters (Mali),,Health Workers (Mali),
452977,13 December 2018,Explosions/Remote violence,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,Tuareg Ethnic Group (Mali); Pastoralists (Mali)
453001,13 December 2018,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Katiba Al Mansour,
453033,13 December 2018,Violence against civilians,Mali,Mopti,Military Forces of Burkina Faso (2015-),Civilians (Mali),,Arab Ethnic Group (Mali); Refugees/IDPs (Mali)
453056,13 December 2018,Strategic developments,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,
453100,13 December 2018,Violence against civilians,Mali,Mopti,Dan Na Ambassagou,Civilians (Mali),,Fulani Ethnic Group (Mali)
453314,13 December 2018,Strategic developments,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,Government of Mali (2013-2020)
453326,13 December 2018,Strategic developments,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,
453391,12 December 2018,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
453627,12 December 2018,Violence against civilians,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),,Dawsahak Ethnic Group (Mali)
453643,12 December 2018,Strategic developments,Mali,Mopti,Ansaroul Islam,,,
453678,12 December 2018,Violence against civilians,Mali,Mopti,Dan Na Ambassagou,Civilians (Mali),,Fulani Ethnic Group (Mali)
453704,12 December 2018,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Ansar Dine,
453797,12 December 2018,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Katiba Serma,
454096,11 December 2018,Protests,Mali,Tombouctou,Protesters (Mali),,Women (Mali),
454131,11 December 2018,Violence against civilians,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),,Dawsahak Ethnic Group (Mali)
454135,11 December 2018,Strategic developments,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,UN: United Nations
454694,10 December 2018,Strategic developments,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,
454734,10 December 2018,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,Tuareg Ethnic Group (Mali)
454928,10 December 2018,Strategic developments,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Katiba Serma,
455554,08 December 2018,Protests,Mali,Segou,Protesters (Mali),,,
455574,08 December 2018,Strategic developments,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,
455965,08 December 2018,Riots,Mali,Bamako,Rioters (Mali),Police Forces of Mali (2013-2020),"FSD: Front for the Safeguard of Democracy; COFOP: Coalition of Patriotic Forces; ADEMA-PASJ: Alliance for Democracy in Mali - Pan-African Party for Liberty, Solidarity and Justice",
456536,07 December 2018,Protests,Mali,Bamako,Protesters (Mali),,,
456657,06 December 2018,Strategic developments,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,CRM: Malian Red Cross
456880,06 December 2018,Strategic developments,Mali,Sikasso,Police Forces of Mali (2013-2020),JNIM: Group for Support of Islam and Muslims,,
457090,06 December 2018,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Serma,
457101,06 December 2018,Violence against civilians,Mali,Segou,Dozo Militia,Civilians (Mali),Bambara Ethnic Group (Mali),Fulani Ethnic Group (Mali)
457103,06 December 2018,Violence against civilians,Mali,Mopti,Dozo Militia,Civilians (Mali),Bambara Ethnic Group (Mali),Fulani Ethnic Group (Mali)
457151,05 December 2018,Battles,Mali,Tombouctou,GATIA: Imghad Tuareg and Allies Self-Defense Group,GATIA: Imghad Tuareg and Allies Self-Defense Group,,
457158,05 December 2018,Protests,Mali,Bamako,Protesters (Mali),,Journalists (Mali),
457175,05 December 2018,Battles,Mali,Mopti,Dan Na Ambassagou,Fulani Ethnic Militia (Mali),,
457238,05 December 2018,Protests,Mali,Bamako,Protesters (Mali),,,
457448,05 December 2018,Battles,Mali,Mopti,Military Forces of Mali (2013-2020),Fulani Ethnic Militia (Mali),Dan Na Ambassagou,Ganda Izo
457524,05 December 2018,Explosions/Remote violence,Mali,Gao,Islamic State (Greater Sahara),GATIA: Imghad Tuareg and Allies Self-Defense Group,Katiba Al Mansour,
457556,05 December 2018,Violence against civilians,Mali,Mopti,Dan Na Ambassagou,Civilians (Mali),,Fulani Ethnic Group (Mali)
457768,04 December 2018,Protests,Mali,Kayes,Protesters (Mali),,,
458005,04 December 2018,Violence against civilians,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,Tuareg Ethnic Group (Mali); Fulani Ethnic Group (Mali)
458096,04 December 2018,Violence against civilians,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,Tuareg Ethnic Group (Mali)
458588,03 December 2018,Violence against civilians,Mali,Koulikoro,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Katiba Macina,Women (Mali)
458593,03 December 2018,Protests,Mali,Bamako,Protesters (Mali),,Health Workers (Mali); Labour Group (Mali),
458999,02 December 2018,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,Katiba Macina,
459169,02 December 2018,Violence against civilians,Mali,Sikasso,Unidentified Armed Group (Mali),Civilians (Mali),,
459390,01 December 2018,Strategic developments,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,Teachers (Mali)
459509,01 December 2018,Battles,Mali,Segou,Dozo Militia,Dozo Militia,,Ouolon Communal Militia (Mali)
459830,01 December 2018,Strategic developments,Mali,Mopti,Military Forces of Mali (2013-2020),Unidentified Armed Group (Mali),,
459915,30 November 2018,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Ansar Dine,
460074,30 November 2018,Violence against civilians,Mali,Segou,Unidentified Armed Group (Mali),Civilians (Mali),,
460266,30 November 2018,Battles,Mali,Kayes,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020),Katiba Macina,
460268,30 November 2018,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
460861,29 November 2018,Violence against civilians,Mali,Bamako,Military Forces of Mali (2013-2020),Civilians (Mali),,Journalists (Mali)
461208,28 November 2018,Battles,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Arab Ethnic Militia (Mali),AQIM: Al Qaeda in the Islamic Maghreb,
461258,28 November 2018,Battles,Mali,Segou,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
461521,27 November 2018,Explosions/Remote violence,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,
461557,27 November 2018,Battles,Mali,Gao,Military Forces of Mali (2013-2020),Military Forces of Mali (2013-2020),,
461764,27 November 2018,Battles,Mali,Mopti,Unidentified Armed Group (Mali),Police Forces of Mali (2013-2020) Gendarmerie,,
461978,27 November 2018,Strategic developments,Mali,Mopti,Fulani Ethnic Militia (Mali),Civilians (Mali),,Dogon Ethnic Group (Mali)
462099,26 November 2018,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,
462853,25 November 2018,Battles,Mali,Gao,Unidentified Armed Group (Mali),Private Security Forces (Mali),,Ganda Izo
462894,25 November 2018,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,
463673,23 November 2018,Protests,Mali,Gao,Protesters (Mali),,Arab Ethnic Group (Mali),
463774,23 November 2018,Protests,Mali,Segou,Protesters (Mali),,,
463790,23 November 2018,Strategic developments,Mali,Segou,JNIM: Group for Support of Islam and Muslims,,Katiba Macina,
463844,23 November 2018,Strategic developments,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,Health Workers (Mali)
464080,22 November 2018,Battles,Mali,Mopti,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,Katiba Macina
464261,22 November 2018,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Arab Ethnic Group (Mali)
464720,21 November 2018,Strategic developments,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
464731,21 November 2018,Battles,Mali,Gao,GATIA: Imghad Tuareg and Allies Self-Defense Group,GATIA: Imghad Tuareg and Allies Self-Defense Group,,
464743,21 November 2018,Violence against civilians,Mali,Mopti,Dogon Ethnic Militia (Mali),Civilians (Mali),,Fulani Ethnic Group (Burkina Faso); Pastoralists (Burkina Faso)
464952,21 November 2018,Protests,Mali,Bamako,Protesters (Mali),,Students (Mali),
465065,21 November 2018,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Dawsahak Ethnic Group (Mali)
465091,21 November 2018,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
465229,20 November 2018,Strategic developments,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,
465265,20 November 2018,Violence against civilians,Mali,Mopti,Dogon Ethnic Militia (Mali),Civilians (Mali),,Fulani Ethnic Group (Burkina Faso); Pastoralists (Burkina Faso)
465389,20 November 2018,Violence against civilians,Mali,Mopti,Dan Na Ambassagou,Civilians (Mali),,Fulani Ethnic Group (Burkina Faso); Pastoralists (Burkina Faso)
465651,20 November 2018,Strategic developments,Mali,Gao,Idourfane Ethnic Militia (Mali),Ibogalitane Ethnic Militia (Mali),,
465785,19 November 2018,Violence against civilians,Mali,Mopti,Fulani Ethnic Militia (Mali),Civilians (Mali),Pastoralists (Mali),Dogon Ethnic Group (Mali)
465936,19 November 2018,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,Fulani Ethnic Group (Burkina Faso); Pastoralists (Burkina Faso)
466012,19 November 2018,Violence against civilians,Mali,Kidal,Unidentified Armed Group (Mali),Civilians (Mali),,
466483,18 November 2018,Violence against civilians,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),AQIM: Al Qaeda in the Islamic Maghreb,MOC: Operational Coordination Mechanism; MAA: Arab Movement of the Azawad (Platform)
466506,18 November 2018,Protests,Mali,Bamako,Protesters (Mali),,Government of Mali (2013-2020),
466550,18 November 2018,Explosions/Remote violence,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
466716,18 November 2018,Violence against civilians,Mali,Mopti,Dozo Militia,Civilians (Mali),Bambara Ethnic Group (Mali),Fulani Ethnic Group (Burkina Faso); Pastoralists (Burkina Faso)
466717,18 November 2018,Violence against civilians,Mali,Mopti,Dan Na Ambassagou,Civilians (Mali),,Fulani Ethnic Group (Burkina Faso); Pastoralists (Burkina Faso)
466744,18 November 2018,Battles,Mali,Mopti,Military Forces of Mali (2013-2020),Dan Na Ambassagou,,
466748,18 November 2018,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Serma,
466752,18 November 2018,Battles,Mali,Mopti,Dan Na Ambassagou,Fulani Ethnic Militia (Mali),,
466785,18 November 2018,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Dawsahak Ethnic Group (Mali)
466803,17 November 2018,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Dawsahak Ethnic Group (Mali)
466939,17 November 2018,Battles,Mali,Gao,Unidentified Armed Group (Mali),Gandakoy Ethnic Militia (Mali),,
466948,17 November 2018,Protests,Mali,Gao,Protesters (Mali),,Students (Mali),
467248,17 November 2018,Violence against civilians,Mali,Mopti,Dogon Ethnic Militia (Mali),Civilians (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali)
467407,16 November 2018,Violence against civilians,Mali,Mopti,Dozo Militia,Civilians (Mali),Bambara Ethnic Group (Mali),Fulani Ethnic Group (Burkina Faso); Pastoralists (Burkina Faso)
467746,16 November 2018,Protests,Mali,Bamako,Protesters (Mali),Police Forces of Mali (2013-2020),FSD: Front for the Safeguard of Democracy; COFOP: Coalition of Patriotic Forces,
467877,15 November 2018,Strategic developments,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Health Workers (Mali)
468285,15 November 2018,Battles,Mali,Koulikoro,Military Forces of Mali (2013-2020),JNIM: Group for Support of Islam and Muslims,,Katiba Macina
468511,14 November 2018,Strategic developments,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
468614,14 November 2018,Protests,Mali,Gao,Protesters (Mali),,Platform of June 14th 2014 movements,
468714,14 November 2018,Strategic developments,Mali,Mopti,Fulani Ethnic Militia (Mali),Civilians (Mali),,Dogon Ethnic Group (Mali)
468840,14 November 2018,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
468892,14 November 2018,Strategic developments,Mali,Mopti,Military Forces of Mali (2013-2020),Dozo Militia,,Bambara Ethnic Group (Mali)
468916,13 November 2018,Battles,Mali,Mopti,Unidentified Armed Group (Mali),GATIA: Imghad Tuareg and Allies Self-Defense Group,,
469905,12 November 2018,Violence against civilians,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Civilians (Cambodia); Civilians (South Africa); Civilians (Zimbabwe)
470048,11 November 2018,Battles,Mali,Tombouctou,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,Katiba Al Mansour
470052,11 November 2018,Violence against civilians,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Katiba Macina,Bambara Ethnic Group (Mali); Dozo Militia
470402,11 November 2018,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,
470414,11 November 2018,Battles,Mali,Mopti,Dogon Ethnic Militia (Mali),Tan-Samba Communal Militia (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali)
470433,11 November 2018,Violence against civilians,Mali,Mopti,Dogon Ethnic Militia (Mali),Civilians (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali)
470872,10 November 2018,Strategic developments,Mali,Gao,Police Forces of Mali (2013-2020),,,
470898,10 November 2018,Violence against civilians,Mali,Mopti,Fulani Ethnic Militia (Mali),Civilians (Mali),Pastoralists (Mali),Dogon Ethnic Group (Mali)
471565,08 November 2018,Violence against civilians,Mali,Gao,Islamist Militia (Mali),Civilians (Mali),,
472447,07 November 2018,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,Katiba Macina,
472633,06 November 2018,Strategic developments,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,Military Forces of France (2017-),,
473008,05 November 2018,Strategic developments,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Niger),,Health Workers (Mali)
473101,05 November 2018,Strategic developments,Mali,Koulikoro,Unidentified Armed Group (Mali),Civilians (Mali),,
473475,05 November 2018,Violence against civilians,Mali,Mopti,Dozo Militia,Civilians (Niger),,Fulani Ethnic Group (Niger); Pastoralists (Niger)
473593,04 November 2018,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Serma,
473708,04 November 2018,Explosions/Remote violence,Mali,Gao,Islamist Militia (Mali),Civilians (Mali),,Dawsahak Ethnic Group (Mali)
474044,03 November 2018,Protests,Mali,Kayes,Protesters (Mali),,,
474174,03 November 2018,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
474305,03 November 2018,Strategic developments,Mali,Koulikoro,Military Forces of Mali (2013-2020),,,
474378,02 November 2018,Battles,Mali,Gao,Unidentified Armed Group (Mali),GATIA: Imghad Tuareg and Allies Self-Defense Group,,
474526,02 November 2018,Strategic developments,Mali,Tombouctou,GATIA: Imghad Tuareg and Allies Self-Defense Group,Civilians (Mali),,
475037,01 November 2018,Strategic developments,Mali,Koulikoro,JNIM: Group for Support of Islam and Muslims,,Katiba Macina,
475063,01 November 2018,Strategic developments,Mali,Tombouctou,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
475194,01 November 2018,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Al Mourabitoune Battalion,
475210,01 November 2018,Violence against civilians,Mali,Gao,Dawsahak Ethnic Militia (Mali),Civilians (Mali),,Arab Ethnic Group (Mali)
475987,31 October 2018,Protests,Mali,Kidal,Protesters (Mali),,,
476556,30 October 2018,Strategic developments,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Police Forces of Mali (2013-2020) Customs Agents
476572,30 October 2018,Violence against civilians,Mali,Mopti,Dozo Militia,Civilians (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali)
476753,29 October 2018,Violence against civilians,Mali,Segou,Unidentified Armed Group (Mali),Civilians (Mali),,Labour Group (Mali)
476832,29 October 2018,Riots,Mali,Gao,Rioters (Mali),Civilians (Mali),Vigilante Group (Mali),
477082,29 October 2018,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,Dogon Ethnic Group (Mali)
477147,29 October 2018,Violence against civilians,Mali,Gao,GATIA: Imghad Tuareg and Allies Self-Defense Group,Civilians (Mali),,Arab Ethnic Group (Mali)
477243,28 October 2018,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
478032,27 October 2018,Battles,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
478033,27 October 2018,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Katiba Macina,
478443,26 October 2018,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
478461,26 October 2018,Violence against civilians,Mali,Mopti,Dozo Militia,Civilians (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali)
478705,25 October 2018,Protests,Mali,Tombouctou,Protesters (Mali),,,
478846,25 October 2018,Violence against civilians,Mali,Mopti,Dozo Militia,Civilians (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali)
479217,24 October 2018,Protests,Mali,Tombouctou,Protesters (Mali),,,
479462,24 October 2018,Battles,Mali,Koulikoro,Unidentified Armed Group (Mali),Police Forces of Mali (2013-2020),,Police Forces of Mali (2013-2020) Gendarmerie
479469,24 October 2018,Explosions/Remote violence,Mali,Gao,Unidentified Armed Group (Mali),GATIA: Imghad Tuareg and Allies Self-Defense Group,,
479472,24 October 2018,Battles,Mali,Mopti,Dogon Ethnic Militia (Mali),Fulani Ethnic Militia (Mali),,Pastoralists (Mali)
479635,23 October 2018,Protests,Mali,Mopti,Protesters (Mali),,,
480098,22 October 2018,Violence against civilians,Mali,Mopti,Military Forces of Mali (2013-2020),Civilians (Mali),GATIA: Imghad Tuareg and Allies Self-Defense Group,Fulani Ethnic Group (Mali); Pastoralists (Mali)
480195,22 October 2018,Protests,Mali,Gao,Protesters (Mali),,,
480203,22 October 2018,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
480326,22 October 2018,Protests,Mali,Gao,Protesters (Mali),,,
480897,21 October 2018,Violence against civilians,Mali,Mopti,Dogon Ethnic Militia (Mali),Civilians (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali)
481175,20 October 2018,Violence against civilians,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,Tuareg Ethnic Group (Mali); Women (Mali)
481356,20 October 2018,Violence against civilians,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,Tuareg Ethnic Group (Mali)
481385,20 October 2018,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
481589,19 October 2018,Violence against civilians,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),,Dawsahak Ethnic Group (Mali)
482995,16 October 2018,Battles,Mali,Tombouctou,Military Forces of Mali (2013-2020),JNIM: Group for Support of Islam and Muslims,Military Forces of France (2017-),Katiba Al Mansour
482998,16 October 2018,Battles,Mali,Bamako,Militia (Students),Militia (Students),AEEM: Association of Students and Pupils in Mali,AEEM: Association of Students and Pupils in Mali
483135,16 October 2018,Explosions/Remote violence,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),,
483477,15 October 2018,Protests,Mali,Bamako,Protesters (Mali),,,
483523,15 October 2018,Violence against civilians,Mali,Segou,Unidentified Armed Group (Mali),Civilians (Mali),,
483680,15 October 2018,Violence against civilians,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),,
483970,15 October 2018,Violence against civilians,Mali,Mopti,Dozo Militia,Civilians (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali)
484875,13 October 2018,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Dozo Militia,Katiba Macina,
485275,12 October 2018,Violence against civilians,Mali,Tombouctou,Kel Inagozmi Ethnic Militia (Mali),Civilians (Mali),CMA: Coordination of Movements of the Azawad; HCUA: High Council for the Unity of Azawad; MNLA: National Movement for the Liberation of Azawad,Kel Ansar Ethnic Group (Mali)
485395,11 October 2018,Battles,Mali,Tombouctou,Kel Ansar Ethnic Militia (Mali),CMA: Coordination of Movements of the Azawad,,MNLA: National Movement for the Liberation of Azawad
485439,11 October 2018,Strategic developments,Mali,Mopti,Military Forces of Mali (2013-2020),,,
485524,11 October 2018,Explosions/Remote violence,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Dawsahak Ethnic Group (Mali)
485733,11 October 2018,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Katiba Macina,Bambara Ethnic Group (Mali); Farmers (Mai)
485751,11 October 2018,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Katiba Macina,Fulani Ethnic Group (Mali); Pastoralists (Mali)
485849,11 October 2018,Violence against civilians,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Katiba Macina,
485968,10 October 2018,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
486372,10 October 2018,Strategic developments,Mali,Koulikoro,Unidentified Armed Group (Mali),,,
486418,10 October 2018,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
486525,09 October 2018,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
